Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes,Analysis_Tag,Similarity_Score,Issue_Flag
"Amelot de la Houssaye, A. N.",Abraham Nicolas Amelot de la Houssaye,Person,[Reconstruction] 名字倒装复原。,Reconstruction,0.65,
Amico Ricci,Amico Ricci,Person,[Validation] 艺术史学家。,Validation,1.0,
Amor Vincit Omnia,Amor Vincit Omnia,Work,[Validation] 卡拉瓦乔画作。,Validation,1.0,
Amsterdam,Amsterdam,Place,[Validation] 地名。,Validation,1.0,
Anatole de Montaiglon,Anatole de Montaiglon,Person,[Validation] 艺术史学家。,Validation,1.0,
Andrea Brustolon,Andrea Brustolon,Person,[Validation] 威尼斯雕塑家。,Validation,1.0,
Andrea Camassei,Andrea Camassei,Person,[Validation] 巴洛克画家。,Validation,1.0,
Andrea Carlone,Andrea Carlone,Person,[Validation] 热那亚画家。,Validation,1.0,
Andrea Celesti,Andrea Celesti,Person,[Validation] 威尼斯画家。,Validation,1.0,
Andrea Doria,Andrea Doria,Person,[Validation] 热那亚海军上将。,Validation,1.0,
Andrea Ferreri,Andrea Ferreri,Person,[Validation] 巴洛克雕塑家。,Validation,1.0,
Andrea Gerini,Andrea Gerini,Person,[Validation] 佛罗伦萨贵族/收藏家。,Validation,1.0,
Andrea Giacomo Podestà,Andrea Giacomo Podestà,Person,[Validation] 画家/版画家。,Validation,1.0,
Andrea Locatelli,Andrea Locatelli,Person,[Validation] 罗马风景画家。,Validation,1.0,
Andrea Mantegna,Andrea Mantegna,Person,[Validation] 文艺复兴画家。,Validation,1.0,
Andrea Memmo,Andrea Memmo,Person,[Validation] 威尼斯政治家/作家。,Validation,1.0,
Andrea Ottini,Andrea Ottini,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。",Check Original,1.0,
Andrea Palladio,Andrea Palladio,Person,[Validation] 建筑师。,Validation,1.0,
Andrea Pozzo,Andrea Pozzo,Person,[Validation] 耶稣会画家/建筑师。,Validation,1.0,
Andrea Procaccini,Andrea Procaccini,Person,[Validation] 画家。,Validation,1.0,
Andrea Querini,Andrea Querini,Person,[Validation] 威尼斯贵族。,Validation,1.0,
Andrea Sacchi,Andrea Sacchi,Person,[Validation] 罗马巴洛克画家。,Validation,1.0,
Andrea Schiavone,Andrea Schiavone,Person,[Validation] 威尼斯画家。,Validation,1.0,
Andrea Tessier,Andrea Tessier,Person,[Validation] 19世纪威尼斯档案学家。,Validation,1.0,
Andrea Toresani,Andrea Toresani,Person,[Validation] 人物。,Validation,1.0,
Andrea Tron,Andrea Tron,Person,[Validation] 威尼斯政治家。,Validation,1.0,
Andrea Vaccaro,Andrea Vaccaro,Person,[Validation] 那不勒斯画家。,Validation,1.0,
Andrea Zucchi,Andrea Zucchi,Person,[Validation] 版画家。,Validation,1.0,
Andrea del Rosso,Andrea del Rosso,Person,[Validation] 佛罗伦萨收藏家。,Validation,1.0,
Andrea del Sarto,Andrea del Sarto,Person,[Validation] 画家。,Validation,1.0,
Andreas Scherber,Andreas Scherber,Person,[Validation] 人物。,Validation,1.0,
Andreina Griseri,Andreina Griseri,Person,[Validation] 艺术史学家。,Validation,1.0,
Andrew Fountaine,Andrew Fountaine,Person,[Validation] 英国收藏家。,Validation,1.0,
Andrew the Apostle,Saint Andrew,Person,[Disambiguation] 圣安德烈。,Disambiguation,0.4,
Andromache weeping before Aeneas,Andromache weeping before Aeneas,Work,[Validation] 画作主题。,Validation,1.0,
André Félibien,André Félibien,Person,[Validation] 法国宫廷史官/艺术理论家。,Validation,1.0,
Andrés Marzo,Andrés Marzo,Person,[Validation] 西班牙巴洛克画家。,Validation,1.0,
Angel with the Superscription,Angel with the Superscription,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。,Validation,1.0,
"Angeli, Filippo d' (Napoletano)",Filippo Napoletano,Person,[Disambiguation] 菲利波·那波列塔诺。,Disambiguation,0.73,
Angelica Griè,Angelica Griè,Person,[Check Original] 疑似 OCR 错误或极生僻人名。,Check Original,1.0,
Angelo Borzelli,Angelo Borzelli,Person,[Validation] 历史学家/文学评论家。,Validation,1.0,
Angelo Calogerà,Angelo Calogerà,Person,[Validation] 本笃会修士/作家。,Validation,1.0,
Angelo Caroselli,Angelo Caroselli,Person,[Validation] 罗马画家。,Validation,1.0,
Angelo Cesi,Angelo Cesi,Person,[Validation] 主教 (Todi)。,Validation,1.0,
Angelo Contarini,Angelo Contarini,Person,[Validation] 威尼斯贵族。,Validation,1.0,
Angelo Crespi,Angelo Crespi,Person,[Validation] 人物。,Validation,1.0,
Angelo Custode,Guardian Angel,Work/Concept,[Disambiguation] 守护天使（主题）。,Disambiguation,0.36,
Angelo Giori,Angelo Giori,Person,[Validation] 枢机主教 (贝尼尼赞助人)。,Validation,1.0,
Angelo Maria Querini,Angelo Maria Querini,Person,[Validation] 枢机主教/学者。,Validation,1.0,
Angelo Michele Colonna,Angelo Michele Colonna,Person,[Validation] 夸德拉图拉画家。,Validation,1.0,
Angelo Pinetti,Angelo Pinetti,Person,[Validation] 艺术史学家。,Validation,1.0,
Angelo Querini,Angelo Querini,Person,[Validation] 威尼斯贵族。,Validation,1.0,
Dominique Vivant,"Dominique Vivant, Baron Denon",Person,[Full Name] 卢浮宫首任馆长/艺术家。,Full Name,0.71,
Don Cesare Leopardi d`Osimo,Cesare Leopardi,Person,[Validation] 奥西莫贵族。,Validation,0.71,
Don Fabrizio Valguarnera,Fabrizio Valguarnera,Person,[Validation] 17世纪西西里贵族/收藏家 (宝石/画作)。,Validation,0.91,
Don Giovanni Domenico Brustoloni,Giovanni Domenico Brustoloni,Person,[Reconstruction] 威尼斯版画家 (无需 Don)。,Reconstruction,0.93,
Don Urbano Barberini-Colonna di Sciarradi Carbognano,Urbano Barberini (Prince of Palestrina),Person,[Reconstruction] 名字过长且粘连，应简化为主要头衔。,Reconstruction,0.46,Low_Similarity; 
Donald Posner,Donald Posner,Person,[Validation] 艺术史学家。,Validation,1.0,
Donato Creti,Donato Creti,Person,[Validation] 博洛尼亚画家。,Validation,1.0,
Dora Coggiola,Dora Coggiola,Person,[Validation] 图书馆员/艺术作者 (20世纪)。,Validation,1.0,
"Dorigny, Louis",Louis Dorigny,Person,[Validation] 法国画家 (主要在意大利)。,Validation,0.52,Low_Similarity; 
Dosso Dossi,Dosso Dossi,Person,[Validation] 费拉拉画家。,Validation,1.0,
"Douglas, Hamilton, Marquis of","Douglas Hamilton, 8th Duke of Hamilton",Person,[Disambiguation] 汉密尔顿公爵。,Disambiguation,0.66,
Drawings of Sagredo Family Members,Drawings of Sagredo Family Members,Work,[Validation] 素描集。,Validation,1.0,
Dream of St Joseph,Dream of St Joseph,Work,[Validation] 绘画主题。,Validation,1.0,
Dresden,Dresden,Place,[Validation] 城市。,Validation,1.0,
Drunken Silenus,Drunken Silenus,Work,[Validation] 绘画主题 (Rubens/Van Dyck)。,Validation,1.0,
"Dubois, Ambrose",Ambroise Dubois,Person,[Reconstruction] 枫丹白露画派画家。,Reconstruction,0.4,Low_Similarity; 
Duel between Aeneas and Mezentius,Duel between Aeneas and Mezentius,Work,[Validation] 绘画主题。,Validation,1.0,
"Dughet, Gaspard (Gaspard Poussin)",Gaspard Dughet,Person,[Validation] 风景画家。,Validation,0.38,Low_Similarity; 
Duplex Intercessio,Duplex Intercessio,Work/Concept,[Validation] 双重代祷 (绘画神学主题)。,Validation,1.0,
"Duquesnoy, François",François Duquesnoy,Person,[Validation] 佛兰芒雕塑家。,Validation,0.49,Low_Similarity; 
"Durazzo, Marchese Girolamo",Girolamo Durazzo,Person,[Category Fix] 原文误标为 Work。热那亚总督/贵族。,Category Fix,0.38,Low_Similarity; 
Dusseldorf,Düsseldorf,Place,[Validation] 城市。,Validation,0.9,
Dutch artists,Dutch artists,Group,[Validation] 艺术家群体。,Validation,1.0,
Dux,Dux (Duchcov),Place,[Validation] 捷克地名 (卡萨诺瓦晚年居住地)。,Validation,0.38,Low_Similarity; 
"Duyvelant, Jacques",Jacques Duyvelant,Person,[Validation] 17世纪佛兰芒画家 (Antwerp)。,Validation,0.51,Low_Similarity; 
Ecstasy of Saint Teresa,Ecstasy of Saint Teresa,Work,[Validation] 贝尼尼雕塑。,Validation,1.0,
Edgar Wind,Edgar Wind,Person,[Validation] 艺术史学家。,Validation,1.0,
Edgar de Vaes,Edgar de Vaes,Person,[Check Original] 可能是人名或拼写错误。,Check Original,1.0,
Edgwareand,Edgware,Place,"[OCR Fix] ""Edgwareand"" -> ""Edgware"" (London)。",OCR Fix,0.82,
Edmond Bonnaffé,Edmond Bonnaffé,Person,[Validation] 法国收藏家/艺术写作者。,Validation,1.0,
Edoardo Lombardo,Edoardo Lombardo,Person,[Validation] 现代学者 (威尼斯史)。,Validation,1.0,
Education of the Virgin,Education of the Virgin,Work,[Validation] 绘画主题。,Validation,1.0,
Edward Coke,Edward Coke (1758-1837),Person,"[Disambiguation] 可能是 Thomas Coke 的儿子或著名的法学家 (Sir Edward Coke, 早期)。结合上下文通常指 18世纪 Grand Tour 人物。",Disambiguation,0.65,
Edward Croft Murray,Edward Croft-Murray,Person,[Validation] 大英博物馆策展人。,Validation,0.95,
Edward Gibbon,Edward Gibbon,Person,[Validation] 历史学家。,Validation,1.0,
Edward Poore,Edward Poore,Person,[Validation] 英国旅行者/日记作者。,Validation,1.0,
Edward Wright,Edward Wright,Person,[Validation] 英国旅行作家 (Some Observations made in Travelling...)。,Validation,1.0,
Edward Young,Edward Young,Person,[Validation] 诗人 (Night Thoughts)。,Validation,1.0,
"Effetti, Antonio degli",Antonio degli Effetti,Person,[Reconstruction] 罗马贵族/收藏家。,Reconstruction,0.6,
El Escorial,El Escorial,Place,[Validation] 西班牙修道院/皇宫。,Validation,1.0,
Elena Bassi,Elena Bassi,Person,[Validation] 艺术史学家 (Canova/Venice)。,Validation,1.0,
Elena Crinò,Elena Crinò,Person,[Validation] 学者 (现代)。,Validation,1.0,
Eleonora Zambeccari,Eleonora Zambeccari,Person,[Validation] 博洛尼亚贵族。,Validation,1.0,
Elijah,Elijah,Person,[Validation] 先知。,Validation,1.0,
Elijah carried to Heaven in a Chariot of Fire,Elijah Taken Up in a Chariot of Fire,Work,[Validation] 绘画主题。,Validation,0.77,
Elisabeth Dhanens,Elisabeth Dhanens,Person,[Validation] 艺术史学家 (Van Eyck专家)。,Validation,1.0,
Elizabeth Du Gue Trapier,Elizabeth Du Gué Trapier,Person,[Validation] 艺术史学家 (Hispanic Society)。,Validation,0.96,
Elizabeth Felton,"Elizabeth Felton, Countess of Bristol",Person,[Disambiguation] 赫维勋爵的妻子。,Disambiguation,0.6,
Elizabeth Yates,Elizabeth Yates,Person,[Validation] 演员/作家 (可能指同名者，需上下文)。,Validation,1.0,
Elizabetta Antoniazzi Rossi,Elisabetta Antoniazzi Rossi,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。",OCR Fix,0.96,
Ellis Waterhouse,Ellis Waterhouse,Person,[Validation] 艺术史学家。,Validation,1.0,
Elpidio Benedetti,Elpidio Benedetti,Person,[Validation] 罗马的法国代理人/经纪人。,Validation,1.0,
Embassy of Spain in Rome,Palazzo di Spagna (Embassy of Spain),Place,[Validation] 罗马建筑。,Validation,0.53,Low_Similarity; 
Emil Kauffmann,Emil Kauffmann,Person,[Validation] 音乐家/艺术爱好者 (Angelica Kauffman父亲?)。需区分 Emil Kaufmann (建筑史学家) 或 Friedrich Kauffmann。应为 Emil Kaufmann (1891–1953) 建筑史学家。,Validation,1.0,
Emile Baudson,Émile Baudson,Person,[Validation] 法国艺术史学家。,Validation,0.92,
Emilia,Emilia-Romagna,Place,[Validation] 意大利大区。,Validation,0.6,
Emilio Amedeo De Tipaldo,Emilio De Tipaldo,Person,[Validation] 传记作家。,Validation,0.83,
Emilio Bonomelli,Emilio Bonomelli,Person,[Validation] 教皇宫廷官员 (Castel Gandolfo)。,Validation,1.0,
Emilio Lavagnino,Emilio Lavagnino,Person,[Validation] 艺术史学家/策展人。,Validation,1.0,
Emilio Morpurgo,Emilio Morpurgo,Person,[Validation] 帕多瓦统计学家/政治家。,Validation,1.0,
Emily Temple,"Emily Temple, Viscountess Palmerston",Person,[Disambiguation] 帕默斯顿夫人。,Disambiguation,0.5,
Emmanuele Antonio Cicogna,Emmanuele Antonio Cicogna,Person,[Validation] 威尼斯碑铭学家/历史学家。,Validation,1.0,
"Emo, Procurator",Gabriele Emo / Giovanni Emo,Person,[Disambiguation] 威尼斯行政官。最著名的是 Gabriele Emo 或 Giovanni Emo。保留泛指或标记需确认。,Disambiguation,0.33,
Emperor Henry IV Kneeling Before Pope Gregory VII,Emperor Henry IV Kneeling Before Pope Gregory VII,Work,[Validation] 绘画主题 (Canossa)。,Validation,1.0,
English patronage,English patronage,Concept,[Validation] 艺术赞助。,Validation,1.0,
English tourists in Italy,Grand Tour (English tourists),Group/Concept,[Validation] 群体/现象。,Validation,0.59,Low_Similarity; 
Enlightenment in Italy,Italian Enlightenment,Concept,[Validation] 历史时期/运动。,Validation,0.6,
Enrico Brol,Enrico Brol (Author),Person,"[Check Original] 可能是 ""Enrico Broilo""? 待定。",Check Original,0.71,
Enrico Carusi,Enrico Carusi,Person,[Validation] 梵蒂冈图书馆员/法制史学家。,Validation,1.0,
Enrico Narducci,Enrico Narducci,Person,[Validation] 罗马图书馆员/目录学家。,Validation,1.0,
Enrico Zuccalli,Enrico Zuccalli,Person,[Validation] 建筑师。,Validation,1.0,
Enriqueta Harris,Enriqueta Harris,Person,[Validation] 艺术史学家 (Velázquez专家)。,Validation,1.0,
"Entry of the Count of Colloredo, the Imperial ambassador",Entry of the Count of Colloredo,Work,[Validation] 卡纳莱托画作。,Validation,0.71,
Enzo Bentivoglio,Enzo Bentivoglio,Person,[Validation] 费拉拉侯爵/赞助人。,Validation,1.0,
Enzo Crea,Enzo Crea,Person,[Validation] 罗马出版商/学者。,Validation,1.0,
Epicurus,Epicurus,Person,[Validation] 哲学家。,Validation,1.0,
Equestrian Statue of Henry IV,Equestrian Statue of Henry IV,Work,[Validation] 巴黎新桥雕塑 (Giambologna/Tacca)。,Validation,1.0,
Equestrian Statue of Louis XIV,Equestrian Statue of Louis XIV,Work,[Validation] 贝尼尼/Girardon雕塑。,Validation,1.0,
Ercole Ferrata,Ercole Ferrata,Person,[Validation] 罗马巴洛克雕塑家。,Validation,1.0,
Ercole Graziani the Younger,Ercole Graziani,Person,[Validation] 博洛尼亚画家。,Validation,0.71,
Ercole Lelli,Ercole Lelli,Person,[Validation] 解剖蜡像制作师/艺术家。,Validation,1.0,
Ercole Procaccini the Elder,Ercole Procaccini the Elder,Person,[Validation] 画家。,Validation,1.0,
"Erlach, Fischer von",Johann Bernhard Fischer von Erlach,Person,[Reconstruction] 奥地利巴洛克建筑师。,Reconstruction,0.57,Low_Similarity; 
Erminia,Erminia,Person (Lit),[Validation] 《耶路撒冷的解放》人物。,Validation,1.0,
Ernst Gombrich,Ernst Gombrich,Person,[Validation] 艺术史学家。,Validation,1.0,
Erwin Panofsky,Erwin Panofsky,Person,[Validation] 图像学家。,Validation,1.0,
Esau,Esau,Person,[Validation] 圣经人物。,Validation,1.0,
Escape from Egypt,Flight into Egypt,Work,[Validation] 绘画主题。,Validation,0.47,Low_Similarity; 
"Essex, Lord","Robert Devereux, 2nd Earl of Essex",Person,[Disambiguation] 埃塞克斯伯爵。,Disambiguation,0.22,
Este,Este,Place,[Validation] 城镇/家族发源地。,Validation,1.0,
"Este, Azzo, Marchese d'",Azzo d'Este (Marquis),Person,[Category Fix] 原文误标为 Work。,Category Fix,0.41,Low_Similarity; 
"Este, Isabella d'",Isabella d'Este,Person,[Reconstruction] 文艺复兴赞助人。,Reconstruction,0.69,
Estella Brunetti,Estella Brunetti,Person,[Validation] 艺术史学家。,Validation,1.0,
Esther,Esther,Person,[Validation] 圣经人物。,Validation,1.0,
Esther before Ahasuerus,Esther before Ahasuerus,Work,[Validation] 绘画主题。,Validation,1.0,
"Estrées, Duc d'",César d'Estrées,Person,[Disambiguation] 法国枢机/外交官 (César) 或其兄 (François Annibal)。驻罗马通常是 César。,Disambiguation,0.47,
Et in Arcadia ego,Et in Arcadia ego,Work,[Validation] 普桑/Guercino画作标题。,Validation,1.0,
Etchings of Oriental-style Heads,Etchings of Oriental-style Heads,Work,[Validation] Castiglione 或 Tiepolo 作品。,Validation,1.0,
Eteocles,Eteocles,Person (Myth),[Validation] 神话人物。,Validation,1.0,
Eteocles and Polynices,Eteocles and Polynices,Work,[Validation] 绘画主题。,Validation,1.0,
Euclid,Euclid,Person,[Validation] 古希腊数学家。,Validation,1.0,
"Eugene, Prince",Prince Eugene of Savoy,Person,[Disambiguation] 欧根亲王。,Disambiguation,0.39,
Eugène Michaud,Eugène Michaud,Person,[Validation] 历史学家 (19世纪)。,Validation,1.0,
Europa,Europa,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。神话人物。,Category Fix,1.0,
European scientific societies,European scientific societies,Group/Concept,[Category Fix] 原文误标为 Place。,Category Fix,1.0,
Eusebio Della Lena,Eusebio Della Lena,Person,[Validation] 威尼斯作家 (18世纪)。,Validation,1.0,
Eustachio Manfredi,Eustachio Manfredi,Person,[Validation] 天文学家/诗人。,Validation,1.0,
Eustachio Zanotti,Eustachio Zanotti,Person,[Validation] 天文学家。,Validation,1.0,
Evelina Borea,Evelina Borea,Person,[Validation] 现代艺术史学家。,Validation,1.0,
Everhard Jabach,Everhard Jabach,Person,[Validation] 收藏家 (路易十四赞助)。,Validation,1.0,
"Exeter, 5th Lord","John Cecil, 5th Earl of Exeter",Person,[Disambiguation] 伯利勋爵/Grand Tour 旅行者。,Disambiguation,0.26,
Ezekiel,Ezekiel,Person,[Validation] 先知。,Validation,1.0,
Fabia Borroni,Fabia Borroni Salvadori,Person,[Full Name] 版画研究学者。,Full Name,0.72,
Fabio Canal,Fabio Canal,Person,[Validation] 威尼斯画家。,Validation,1.0,
Fabio Mauroner,Fabio Mauroner,Person,[Validation] 20世纪艺术史学家/版画家。,Validation,1.0,
Fabio de Fabiis,Fabio de Fabiis,Person,[Validation] 罗马人物。,Validation,1.0,
Fabio degli Abati Olivieri,Fabio degli Abati Olivieri,Person,[Validation] 枢机主教。,Validation,1.0,
Fabrizio Moretti,Fabrizio Moretti,Person,[Context] 可能是现代艺术商 (Moretti Fine Art)，也可能指历史人物。鉴于列表多为艺术史相关，可能是前者或其画廊。需确认上下文。,Context,1.0,
Fabrizio Pignatelli d'Aragona...,Fabrizio Pignatelli d'Aragona,Person,[Validation] 贵族 (Monteleone公爵)。,Validation,0.95,
Fabrizio Spada,Fabrizio Spada,Person,[Validation] 枢机主教。,Validation,1.0,
